porti,携带
lawdire,据说
lawdo,表扬
lawenspeza,所得税
lawgrada,逐步的
lawinvite,应邀
lawlega,法定
lawlegha,正当的
lawlonge de marbordo,沿海
lawplacha,随便,随意
lawplane,有计划
lawro,月桂树
lawta,高声,响亮
lawta kaj sonora,高亢
lawtparolilo,扩音器,扬声器
lawvice,挨次,顺次,依次
lazura,蔚蓝
lazurito,青金石
lazuro,天蓝色
lazurshtono,青金石
leciono,教训,课程
leda kofro,皮箱
ledganto,皮手套
ledo,皮革
ledshuo,皮鞋
ledzono,皮带
legajho,读物
leganto,读者
legendo,传奇,传说
legeto,水池
legha,合法
legha sistemo,法制
leghdoni,立法
leghera,轻薄,轻,轻浮
leghfari,立法
leghigi,合法化
legho,定律,法律,法则,规律,王法
legi,读书,阅读
legitima,合法
legitimilo,证件
legitimita,正当的
leglampo,台灯
legombazaro,菜市
legomghardeno,菜园
legomo,蔬菜
legomoj,莱蔬
legosigno,书签
legumenacoj,豆科植物
legumeno,豆荚
lekcii,讲课,讲授,讲学,演讲
lekcio,讲演
leki,舔
leksikono,词汇,字汇
lemno,浮萍
Lenik,谢继雷
leninismo,列宁主义
lenso,透镜
lento,扁豆
lentugo,雀斑
leono,狮子
leoparda kato,山猫
leopardo,豹子
leporhundo,猎兔犬
leporo,兔子,野兔
lepro,麻风
lernago,学龄
lernanto,学生
lerneja kuracisto,校医
lerneja tasko,功课
lernejano,学生
lernejestro,校长
lernejo,校,学校
lerni,读书,学,学习
lerni de,效法
lerni unu de alia,互相学习
lernjaro,学年
lernohoro,学时
lernojaro,学龄
lernoknabo,徒工,学童
lernolibro,教科书,课本
lernoservi,学徒
lernotempo,学期,学时
lerta,纯熟,灵巧,巧妙,熟练,娴热
lerta metiisto,能工巧匠
lerteco,本领,技巧
lertulo,巧手
lesivmashino,洗衣机
lesivo,碱水,洗涤剂
leterkesto,信箱
letero,书信,信,信件
leteroj,书简
leterpapero,信纸
leterportisto,邮递员
leterskatolo,信箱
levi,举起,竖起,提高,提起,掀起
levi la kapon,抬头
levighi,起来,起义,上升,上涨,兴起,造反,增长
levilo,杠杆,起重机,升降机
levmashino,吊车,起重机,升降机
levponto,吊桥
levstango,杠杆
lewso,黄土
lezi,伤
li,他
Lia (Via) Princa Moshto,殿下
liano,藤,藤蔓植物
libelo,蜻蜒
libera,空闲,自由的,自由自在
libera nago,自由泳
libera spaco,空地
libera tempo,闲暇
liberala profesiulo,自由职业者
liberalismo,自由主义
liberalisto,自由主义者
libereco,自由
libereco de geedzigho,婚姻自由
libereco de parolo,言论自由
libergi,释放
Liberiga Armeo,解放军
Liberiga Milito,解放战争
liberighi,摆脱
liberigi,解放,解救
liberigi kawcie,保释
liberigi sin de,脱身
liberigita regiono,解放区
libero,自由
libertempo,休假日
librejo,书店
libro,册子,书,书本,图书
libroapogilo,书梢
librobretaro,书架
librokovrilo,书皮
librokovro,书套
librolisto,书目
librosako,书包
libroservo,书刊服务部
libroshranko,书橱,书柜
librotenado,簿记,记帐
librotenisto,会计
librovendejo,书店
liceo,中学
lichio,荔枝
lieno,脾脏
lift,电梯
lifto,升降机
ligi,系,结合,捆,连接
ligighi intime per kumunaj interesoj,休戚相关
ligilo,纽带
ligna benko,板凳
ligna meblo,木器
ligna strukturo,木结构
lignajhisto,木工
ligno,木,木材,木料,木头
lignogravurajho,版画,木刻
lignokarbo,木炭
lignonajlo,木楔
ligo,联盟,同盟,协会
liki,漏,渗漏
liko de elektro,漏电
likva stato,液态
likvajho,液体
likvidi,解决,清理,清算
likvigi,液化
likvoro,酒
lilako,丁香,紫丁香
lilio,百合花
limako,蜗牛
limfadeno,淋巴腺
limfo,淋巴
limigi,限定,限制
limigita,有限
limo,边界,分界,极限,疆界,界,界限,期限,限度
limonado,柠檬水
limshtono,界石
limtempo,限期
linajho,麻布
lineo,线路
lingva familio,语系
lingvajho,措辞
lingvistiko,语言学
lingvisto,语言学者
lingvo,言语,语言
linia desegnado,白描
linia desegno,线描
liniaro,五线谱
liniilo,尺子
linio,路线,线,线条
lino,亚麻
linoleumo,油布
lintelo,门楣
lipharoj,胡子,髭
lipo,唇,嘴唇
liriko,抒情诗
lirli,潺潺
listo,表单
litajho,被褥,铺盖,卧具
litcimo,臭虫
literatura mondo,文坛
literatura talento,文才
literaturo,文献,文学
literaturo kaj arto,文艺
litero,字母
litkovrilo,被子,床单
litkovrilo kaj matraco,被褥
lito,床
litografio,石印
litpelvo,便盆
litro,公升
litsako,睡袋
littuko,床单
liturinado,尿床
litvagono,卧车
liveri,供给,供应,提供
lndigni,愤怒
loeso,黄土
loghantaro,人口
loghanto,居民
loghdomo,住房,住宅
loghejo,宿舍,寓所,住处,住宅
loghi,居住
loghistiko,后勤
loghloko,居住地
logi,吸引,引诱,诱惑
logiko,逻辑
logo,计程仪
lojala,忠诚,忠实
lojaleco,忠心
loka dialekto,土语
loka gusto,风味
loka kanajlo,地痞
loka koloro,风味
loka opero,戏曲
loka produktajho,特产,土产
loka tirano,恶霸,土豪
loko,场所,地点,地方,位置
lokomobilo,锅驼机
lokomotivo,火车头,机车
lombardi,典当,押当
long-distanca kanono,远射程炮
longa,长,冗长,悠久
longa arsho,万里长征
longa distanco,长途,远程
longa fingro,中指
Longa Marsho,长征
longa tempo,良久
longa vivo,长寿,万岁
longano,桂圆,龙眼
longdawra,持久
longdistanca kuro,长跑
longeco,长度
longigi,延长
longitudo,经度,经线
longitudo kah latitudo,经纬度
longsalto,跳远
longvida,远虑
lonicero,金银花
lorno,望远镜
loti,抽签,拈阄
lotusfloro,荷花,莲花
lotusfolio,荷叶
lotuso,莲
lotusradiko,莲藕
lotussemo,莲子
loza,松软
luanto,租户
lubriki,加油,润滑
ludbatalo,竞赛
ludejo,操场
ludi,扮演,表演,玩耍,嬉戏,演出,演奏,游戏
ludi kun fajro,玩火
ludi liuton al bovo,对牛弹琴
ludi muzikon,奏乐
ludi shakon,下棋
ludilo,玩具
lui,租,租赁
luigi,出租,租赁
luko,天窗
luksa,豪华,华丽,阔气
luksa kaj dibocha,骄奢淫逸
lukso,奢侈,奢华
lukti,奋斗,角力,摔交
lukto,搏斗,角斗
luli,催眠
lulilo,摇篮
lulkanto,催眠曲
luma,光亮,亮
lumarko,弧光
lumba vertebro,腰椎
lumbildo,幻灯
lumbo,腰
lumbriko,蚯蚓
lumeco,亮度
lumi,发亮
lumighi,发亮
lumigi,照亮,照明,照耀
lumjaro,光年
lumo,光,光明,光线
lumondo,光波
lumraketo,信号弹,照明弹
lumsignaloj,红绿灯
lumturo,灯塔
luna eklipso,月食
luna kalendaro,农历,阴历
lunarko,月牙
lundo,星期一
lunklaro,月光
lunlumo,月光
luno,月亮
lupago,租金
luphundo,狼狗
lupo,狼
lupolo,啤酒花
luprezo,租金
luti,焊接
lutro,水獭
maceri,渍
machgumo,口香糖
machi,咀嚼
machstomako,砂囊
Madono,圣母
madrigalo,恋歌,牧歌,情歌
magazeno,百货商店,堆栈,货栈,商店
magia,神奇
magia armilo,法宝
magia bastono,魔杖
magia lanterno,幻灯
magiisto,魔术家
magio,幻术,魔术,奇术
magistrato,市政府
magistro,硕士
magmo,岩浆
magneta kampo,磁场
magneta poluso,磁极
magnetado,磁化
magnetismo,磁性
magnetito,磁铁矿
magnetizi,催眠
magneto,磁石,磁铁,吸铁石
magnetofono,录音机
magnezio,镁
magnezito,菱镁矿
magnezo,氧化镁
magnolio,玉兰
magra,瘦
magzino,期刊
mahinacio,阴谋诡计
mahometano,伊斯兰教徒
maizo,玉米
majesta,威严,巍巍,雄伟,尊严的
majesteco,尊严
majfloro,铃兰花
majhora,大调
majhora skalo,大音阶
majo,五月
majoro,少校
majstra verko,杰作
majstrajho,杰作
majstro,大师,老师傅,名家,师傅
Majtago,五一节
majusklo,大写,大写字母
makako,猕猴
makaronio,通心粉
makarono,杏仁饼
makrocefalo,抹香鲸
makropo,大袋鼠
maksilo,上腭
maksimo,格言,箴言
maksimume,至多
maksimumo,最大限度
makuli,玷污
makulo,斑点,缺点,污点,污痕
makzelo,颌
mala,相反
malagrabla,可恼
malagrablajho,疙瘩
malakceli,减速
malakcepti,否决,拒绝,推辞
malakito,孔雀石
malakordo,分歧
malalavara,慷慨
malalta,矮,低
malalta febro,低烧
malalta frekvenco,低频
malalta temperaturo,低温
malalta vocho,低声
malaltigi,降低
malaltulo,矮子
malami,恨,痛恨,憎恨
malamika,敌视
malamika armeo,敌军
malamika lando,敌国
malamika spiono,敌特
malamikaj trupoj,敌军
malamiko,仇敌,仇人,敌人
malaminda,可恶
malamo,仇恨,冤仇
malankri,启碇,起锚
malantawa (malfronta) servo,后勤
malapari,消逝
malaperi,逝,消失
malaprobi,否决
malario,疟疾
malarmi,裁军
malatenta,心不在焉
malatenti,不理,忽视
malavara,大方
malbela,丑,丑陋
malbeligi,丑化
malbeni,诅咒
malbona,恶劣,坏,拙劣
malbona afeto,坏事
malbona punkto,毛病,缺点
malbonaplano,下策
malbone fari,搞糟
malbonighi,恶化
malbonigi,败坏,搞糟,损坏
malbonodoro,臭味
malbonulo,恶人,坏分子
malbonvola,勉强
malcedema,强硬
malcedi,抗拒
malchasta,放荡
malchasti,淫乱
malchifri,译解
maldece,失当
maldekstra,左的,左倾的
maldekstra alo,左翼
maldekstrulo,左派
maldelikata,粗糙,粗鲁,鲁莽
maldelikatulo,莽汉
maldensa,稀疏
maldensigi,疏散
maldika,瘦
maldika fadeno,细纱
maldika intesto,小肠
maldikigho,消瘦
maldikulo,瘦子
maldiligenta,懈怠
maldiligenta：malstrecha,疲塌
maldiligenteco,懒惰
maldiskreta,鲁莽,轻率
maldolcha por la lango，sed saniga por la sano,良药苦口利于病
maldormi,熬夜
maldungi,辞退,解雇
malebena,崎呕
malegoismo,大公无私
maleolo,脚踝
malesperi,绝望,失望
malestimi,鄙视,藐视,蔑视,轻蔑
malfachila,难
malfacila,艰难,困难
malfacila kej peniga,艰巨
malfacila stato,困境
malfacile komprenebla,费解,难解,深奥
malfacilo,难事
malfaldi,摊开,展开
malfavora,不利
malfekunda,贫瘠
malfeliche,不幸,倒霉
malfelicho,恶运
malferma,公开
malfermi,打开,开,开办,开辟
malfermighi al trafiko,通车
malfidelighi,变节
malfiera,自卑
malfluigi,推迟
malfluso,落潮,退潮
malforta,薄弱,柔弱,软弱,弱,衰弱,微弱,无力,纤弱,虚弱
malforta punkto,短处
malfortajho,弱点
malfortigi,减弱
malfrivola,稳重
malfronto,后方
malfrua,晚
malfrue,迟
malfruighi,迟到
malfruigi,延期
malgaja mieno,愁眉苦脸
malgajni,输
malgajo,哀愁
malghentila,粗暴,粗鲁,粗野,无礼
malghoji,悲哀,忧愁,忧伤
malghojigi,痛心
malghojo,哀愁,悲伤,难受,伤心
malghojo kaj indigno,悲愤
malghusta vojo,斜路
malglata,崎呕
malglori,羞辱
malgloro,耻辱
malgracia,粗俗
malgranda,小,小熊猫
malgranda fingro,小指
malgrandega,渺小
malgrandigi,缩减,缩小
malgrasa,贫瘠,瘦
malgrasulo,瘦子
malgrava,渺小,轻微
malgravajho,琐事,小事
malgraw,尽管
malgraw chio,无论如何
malgraw ke,尽管
malhavi,没有
malhela,昏暗,阴暗
malhele blua,碧兰
malhele verda,碧绿
malhelpajho,障碍物
malhelpi,碍事,妨碍,干扰,拖后腿,阻挡,阻挠
malhelpo,挫折,障碍,周折,阻碍,阻力
malhonora,失体面
malhonori,玷辱,污辱,侮辱,羞辱
malhonorighi,丢脸
malhonoro,耻辱
malhumana,不人道,非人
malica,恶毒,恶意,邪恶
malica ideo,鬼主意
maligna tumoro,毒瘤
malinda,不值得
malinfekti,杀菌,消毒
malinklini,嫌恶
maljuna,年迈,衰老
maljunulejo,养老院
maljunulo,老人
maljustajho,冤屈
maljuste,不公
maljuste okupi,窃据
maljuste riprochi,错怪
maljuste trakti,冤枉
malkapabla,无能
malkara,低廉,便宜
malkasha,公开
malkashe,坦白地
malkashe kaj honeste,正大光明
malkashema,率直,爽直,坦率,直率
malkashi,暴露,揭发,揭露,破获
malkashi sekreton,泄密
malkashighi,败露,走漏
malklara,含糊,混浊,朦胧,模糊
malklera,无知,愚昧
malkompakta,疏松,松散
malkompatema,无情
malkomponi,分解
malkoncentri,稀释
malkondamni,宣告无罪
malkonfesi,抵赖
malkonsili,劝阻
malkonstrui,拆毁
malkontente,不满
malkonvene,失当
malkovri,暴露,打开,揭发,揭开,揭露,破获
malkovrighi,走漏
malkunigi,分开
malkuraghulo,懦夫
mallaboremo,懒惰
mallaborulo,懒汉
mallargha,狭隘,狭窄
mallerta,笨拙,拙笨
mallevi kapon,低头
mallevighi,沉陷,下降
malliberejo,监狱,牢房
malliberulo,犯人,囚犯
malliboejo,囚牢
malligi,解开
mallonga komentario,短评
mallongigi,删节,缩短
mallongigo,缩写
malluma,黑暗,阴暗
malmilda,严厉
malmiopa,远视
malmobilizi,复员,退伍
malmola,坚硬,硬的
malmola akvo,硬水
malmola sidloko,硬席
malmoleco,硬度
malmoligi,硬化
malmorala,不道德
malmultekosta,便宜
malnajli,起钉
malneto,草稿
malnobla,卑鄙,不道德,下贱
malnova,陈旧,旧
malnova amiko,旧友
malnova soldato,老兵
malobservi,违背,违反
malobservi konstitucion,违背宪法
malofta,珍奇的
maloftajho,珍品
malofte,稀少
malorda,乱
malorde,纷乱
malordigi,捣乱,弄乱,扰乱
malordo,零乱,紊乱
malorganizi,解散
malpacienca,急切,急躁,心急
malpaki,解包
malpermesi,禁止
malpeza,轻,轻微
malpeza industrio,轻工业
malpeza kavalerio,轻骑兵
malpeza muziko,轻音乐
malpezigi,减轻
malplacha,可憎
malplekti,解开
malplena,空荡荡,空洞,空虚
malplena babilo,空谈
malpli...ol,不如
malpligi,裁减
malpliigi,减少
malplimulto,少数
malppeza artilerio,轻炮兵
malprava,无理
malprofunda,浅
malproksima,边远,偏僻,遥远,远
malproksima parenco,远亲
malproksima vidajho,远景
malproksimvida,远见
malprudenta,轻率
malpura,肮脏,混浊,脏的
malrapida,迟缓,慢
malrapidi,磨蹭
malrekta,歪
malricha,贫
malricha：malsuficha,贫乏
malricheco,贫困,贫穷,穷困
malrichkamparano,贫农
malrichulo,贫民,穷人
malsagha,傻,愚蠢
malsaghulo,蠢人,傻瓜
malsanighi,闹病,生病
malsano,病,疾病
malsanula chambro,病房
malsanula dosiero,病历
malsanulo,病人,患者
malsata popolano,饥民
malsata rifughanto,饥民
malsatego,饥荒
malsato,饥饿
malsatriko,绝食
malseioze,草率
malseka,湿
malseketa,湿润
malsekigi,浸湿
malsekretigi,失密
malshalti,拉闸
malsharghi,卸
malshategi,厌恶
malshati,嫌恶
malshnuri,开捆
malshpari,挥霍,浪费,虚度,糟踏
malshrawbi,起螺丝
malstrechi,缓和,松驰
malsufichi,不足
malsukcesi,失败
malsupera,拙劣
malsupera mezkomperano,下中农
malsuperniri,下去
malsupra baseno,下游
malsupreniri,降落,下降
maltawge,失当
malteni,撒手
malto,麦芽
maltrankvila,焦急
maltrankvileco,不安
maltrankvilighi,担心,发慌,悬念,忧愁,忧虑,着急
maltrankvilighi pri,惦念
maltrankviligi,捣乱,干扰
maltusanismo,马尔萨斯主义
Maltuso,马尔萨斯
malutila,有害
malutilo,害处,坏处
malvarma,冷淡
malvarma forghado,冷锻
malvarma kompreso,冷敷
malvarma milito,冷战
malvarma plado,冷盘,凉菜
malvarma shvito,冷汗
malvarma trinkajho,冷饮
malvarma veldo,冷焊
malvarmega,冰冷
malvarmego,严寒
malvarmigi,冷却
malvarmo,寒冷,冷
malvarmumi,感冒,着凉
malvarmumigi,伤风
malveni,败
malvenki,失败
malversacio,贪污
malvirta,不道德
malvolvi,解开
mambesto,哺乳动物
mamglanda koncero,乳腺癌
mamglobo,乳房
mamnutri,哺乳,喂奶
mamo,乳房
mampinto,奶头,乳头
mamsuchi,吃奶
mamulo,哺乳动物
mamzono,奶罩,乳罩
manartiko,腕节
manato,海牛
manborilo,手钻
manchuro,满洲人
mandarino,柑,桔子
mandato,委任状
mandiblo,下腭
mandorso,手背
manegho,驯马
mangesto,手势
manghajho,饭菜,食品
manghbastonetoj,筷子
manghchambro,饭厅
manghebla hirundnesto,燕窝
manghebla oleo,食油
mangheblaj sovaghaj herboj,野菜
manghegi,狼吞虎咽
manghejo,饭厅,食堂
manghi,吃
manghigi,喂
manghilo,餐具
manghkarto,菜单
manghoskatolo,饭盒
manghtablo,饭桌
manghvagono,餐车
manglarbo,红树
manglo,红树果
mango,芒果
maniero,方式,样子
manifestacii,游行
manifestacio,示威
manifesti,表现,显示
manifestighi,显现
manifesto,宣言
maniko,袖子
maniktruo,袖口
manilo,门把手
manio,狂热,奇癖
manioko,木薯
manipulatoro,机械手
manipuli,操纵,使用,运用
maniso,穿山甲
maniulo,狂人
manka,残缺,贫乏
mankateno,手铐
manki,不足,缺少
manklaki,鼓掌
manko,短处,缺点,缺乏,缺陷
manlaboro,手工,手工劳动
manlibro,手册
manmufo,手套
mano,手
mano en mano,携手
manocri,耍手腕
manometro,压力计
manovri,演习
manplato,手掌
manpolko,手球
manpremi,握手
manradiko,腕节
mansaketo,手提袋
mansardo,阁楼
manskribajho,笔迹
mansvingi,挥手
mantelo,斗蓬,风衣,外套
mantenilo,手柄
manto,螳螂
mantuko,毛巾,手巾,手绢
manufakturo,制造厂
manuskripto,底稿,稿件,手稿,文稿
manvishilo,毛巾
Maozedongpenso,毛泽东思想
mapo,地图
marabuo,秃朗
marakvo,海水
mararmeo,海军
marasma,衰弱
marasmo,消瘦
maratono,马拉松
marborda linio,海岸线
marborde,沿海
marbordo,海岸,海滨
marchandi,讨价还价
marchevalo,海马
marcho,泥沼,沼泽
marcipano,杏仁酥
mardo,星期二
margheno,空白处
marhundo,海狗
marinfanterio,陆战队
marioneto,傀儡,木偶,提线木偶
maristo,海员,水兵
marki,作记号
markizo,侯爵
marko,标记,标志,马克
markolbaso,海参
markolo,海峡
marksismo,马克思主义
marleono,海狮
marmalsano,晕船
marmejlo,海里
marmelado,果酱
marmilito,海战
marmito,焖锅
marmoro,大理石
marmoto,旱獭
marno,泥灰岩
maro,海,海洋
marprodukto,海产
marsalo,海盐
Marselijezo,马赛曲
marserpento,海蛇
marshalo,元帅
marshawmo,海泡石
marshi,进军,行军
marsho,进行曲
Marso,火星
marsoldato,水兵
martelo,锤子,榔头
marteritorio,海疆,领海
martirighi,牺牲
martiro,烈士,先烈,殉难者
marto,三月
masagho,按摩
masakri,残杀,屠杀
masharo,网
mashine,机械地
mashinisto,机工,机械师
mashino,机器,机械
mashinoleo,机械油
mashinpafilo,机枪
mashinparto,机件
mashinpeco,机件
mashinskribi,打字
mashkaptilo,网套
masho,网眼
masiva,坚实
maski,伪装,掩饰,遮盖
masklo,雄性
masko,假面具,面具
maskovesti,假扮
maso,堆
masoni,砌
masonisto,瓦工,瓦匠
masskri,杀戮
mastiko,油灰
masto,桅杆
mastodonto,乳齿象
mastri,支配
mastro,老板,掌柜,主人
mastrumajho,家务
mastrumistino,女仆
masturbi,手淫
matcho,比赛
matematiko,数学
matena krepusko,拂晓
matenkrepusko,黎明
matenmangho,早餐,早饭
mateno,早晨
matenrugho,晨曦,朝霞
matenstelo,启明星
materia bazo,物质基础
materialo,材料,原料,资料
materiisma dialektiko,唯物辩证法
materiismo,唯物论,唯物主义
materiisto,唯物主义者
materio,物质
matghajo,食物
mato,席
matraco,卧褥
matrico,铜模,纸型,铸型,字模
matrikuli,注册
matrikulo,注册表
matura,成熟
mawzoleo,陵墓
mazuto,柴油,重油
mebli,陈设
meblisto,木工
meblo,家具
mecho,导火线,灯心,火药线,蜡烛芯
medalo,纪念章,奖章
mediano,中线
medicina likvajho,药水
medicinajho,药剂,药品
medicino,医学
medikago,苜蓿
medikamento,药剂,药品
mediksmenta sapo,药皂
medio,环境
Mediteraneo,地中海
mediti,沉思,默想,深思,玩味
medo,蜂蜜酒
medolo,骨髓
meduzo,水母
mefito,臭鼬
megafono,扩音器,喇叭筒
megalomanio,夸大狂
megero,泼扫
mehhanika materiismo,机械唯物论
mehhanikajo,机械装置
mehhanike,机械地
mehhanikisto,机工,机械师
mehhaniko,机械,机械学,力学
mehhanismo,机构,机关,机械装置
mehhanisto,机械师
mehhanizi,机械化
mejloshtono,里程碑
meki,山羊叫
melankolio,惆怅,忧闷,忧郁,郁闷
melaso,糖蜜
melduo,霉
meleagro,火鸡,吐绶鸡
melki,挤奶
melo,獾,穴熊
melodio,曲调,曲子,旋律
melongeno,茄子
melono,瓜,甜瓜
melonsemoj,瓜子
melopeco,吟咏调
mem,本身,亲自,自己
membiografio,自传
membrano,薄膜,膜
membro,成员,分子,会员
membro de kliko,党羽
membro de la Centra Komitato de la Partio,中央委员
membro de la Komunista Partio,共产党员
membroj,四肢
membrulo,自燃
memdecido,自决
memdevigo,克已,自制
memfido,信心,自信
memforgeso,忘我
memkono,自知
memkontento,得意
memlerni,自修
memorajho,回忆录,纪念品
memorando,备忘录
memorhalo,纪念馆
memori,记得,记住
memorigi,纪念
memoro,记性,记忆
memregado,自治
memrespekto,自尊
memriprocho,自责
memstara,自立,自主
memvole,自动地
mencii,提到,提起
mendi,定购,定做,预订
mendilo,订单
meningito,脑膜炎
meningo,脑膜
menkontenteco,自满
mensa malsano,精神病,神经病
menso,精神,神志,心灵
mensogi,扯谎,撒谎,说谎,隐瞒
mensogo,鬼话,谎言
menstruo,例假,月经
mento,薄荷
mentolo,薄荷脑
mentono,下巴,下颌
mentoro,良师
menuo,菜单,食谱
menuro,琴鸟
mergi,浸,浸入
mergighi,沉没
meridiano,子午线
meriti,应得,值得
merito,功绩,功劳,功勋
merkato,市场
merkredo,星期三
merkurokromo,红药水
mesaghisto,通信员
mesagho,口信,文告,信息
Mesio,救世主
meso,弥撒
mestizo,混血儿
metabolo,新陈代谢
metafiziko,形而上学,玄学
metaforo,比喻,隐喻
metalmono,硬币
metalo,金属
metalurgia industrio,冶金工业
metalurgio,冶金术
metamorfozo,变态
metano,甲烷,沼气
metasekvojo,水杉
meteologia fenomeno,气象
meteologia stacio,气象站
meteologio,气象,气象学
meteologo,气象学者
meteorologia stacio,气象站
meteorologio,气象学
meteorologo,气象学者
meteorshtono,陨石
meti,放置
meti flanken,束之高阁
meti fundamenton,奠基
metiarto,手工艺
metiejo,手工作坊,作坊
metiisto,工匠,手工业者,手艺人,艺人
metilernanto,徒弟,徒工
metilerni,学徒
metio,手工劳动,手艺
metodo,办法,方法
metodologio,方法论
metriko,韵律学
metro,公尺,米
metroo,地铁
metropolo,宗主国
mevo,海鸥
meza,中等,中间
meza orelo,中耳
meza otito,中耳炎
mezagho,中年
mezaj fortoj,中间势力
mezburgharo,中产阶级
meze,正中
mezepoko,中世纪
mezgrada,中等,中级
mezkamparano,中农
mezlernejo,中学
meznokto,午夜
meznombro,平均
mezo,中央
mezono,介子
mezulo,中锋
mezurbendo,卷尺
mezuri,测量
mezurilo,量具
mezuro,计量
mezurrubando,卷尺,皮尺
mi,我
miawi,猫叫
miela,甜蜜
miela tempo,蜜月
mielakvo,蜂蜜酒
mielmonato,蜜月
mielo,蜜
mieno,表情,神采,神情,神色,神态,样子
migra birdo,候鸟
migranto,流浪者
migreno,偏头痛
migri,流浪
mikado,天皇
mikozo,霉菌病
mikrobo,微生物
mikrofono,传声器,送话器
mikrokoko,球菌
mikrokosmo,微观
mikrologio,微生物学
mikrometro,千分尺
mikrono,微米
mikroondo,微波
mikroskopo,显微镜
miksajho,混合物
miksbatali,混战
miksi,混合,混同,混淆,混杂,搅拌,搅混,搅和
miksi kolorojn,调色
mil,千
milda,和缓,柔和,温和,温柔
mildigi,缓和
miliardo,十亿
milicio,民兵
miligramo,毫克
milimetro,公厘,毫米
milio,小米
miliono,百万
milionulo,百万富翁
milita alianco,军事联盟
milita apogpunkto,军事据点
milita arto,兵法
milita bazo,军事基地
milita disciplino,军纪
milita forto,武力
milita gajno,战绩
milita krimulo,战犯
milita legho,军法
milita lernejo,军事学校
milita ordono,军令
milita plano,军机
milita povo,兵权
milita predo,战利品
milita preparo,战备
milita pro vizajho,军需品
milita pucho,军事政变
milita regiono,军区
milita scienco,军事科学
milita sekreto,军机,军事秘密
milita servo,兵役
militaj aferoj,军事
militarismo,军国主义
militaristo,军阀
militema,好战
militemulo,好战分子
milithaveno,军港
militi,打仗,作战
militiri,行军
militista revuo,阅兵式
militisto,军人
militkaptito,俘虏,战俘
milito,战争
militpawzo,休战
militservi,服兵役,服役
militshipo,舰
mimeografo,油印机
mimiko,手势,手语
mimo,哑剧演员
mimozo,含羞草
minaci,威胁
minajho,矿石
minajo,矿物
minbalai,扫雷
minejo,矿山
minekspluati,采矿
minerala akvo,矿泉水
minerala tavolo,矿层
minerala vejno,矿脉
mineralo,矿,矿物
mineralogio,矿物学
mineralogo,矿物学者
mingaso,煤气
mini,布雷
miniatura,微型
miniatura pejzago,盆景
miniaturo,缩影,小肖像
minimumo,最低限度
ministerio,部
Ministerio de Eksteraj Aferoj,外交部
ministo,矿工
ministraro,内阁
ministro,部长,大臣
mino,地雷,矿山,水雷
minus,减
minusklo,小写字母
minussigno,减号
minuto,分
miogalo,麝鼠
mioistrejo,部
miokardia infarkto,心肌梗死
miopa,近视
miopulo,近视眼
miozoto,勿忘草
miragho,海市蜃楼
mirago,蜃景
mirakla,神奇
miraklo,奇迹
miri,诧异,惊奇,惊异
mirigi,震惊
mirinda,神奇
mirinde rapida,神速
mirinfano,神童
mirlando,神话世界
mirmekofago,食蚁兽
mirrakonto,童话
misfari,弄错
misforma,畸型
misia laboro,传教
misiiisto,传教士
misio,任务,使命
miskompreni,弄错,误会,误解
miskompreno,隔阂,隔膜
misparolo,口误
mistera,神秘,神奇,玄妙
mistero,奥妙,神秘
mistifiki,哄骗,戏弄,愚弄
mistikismo,神秘主义
mistiko,神秘教义,神秘主义
mistrakti,冤枉
misuzi,滥用
misvoji,迷路
mitingo,大会,会,集会
mito,神话
mito manio,谎语症
mitologio,神话学
mitraleto,轻机枪
mitralo,机枪
mizera,悲惨,赤贫,贫
mizero,苦难,贫困,穷困
mjelo,脊髓
mobilizi,调动,动员
moda,摩登,时式
modela laboristo,劳模
modelo,表率,典范,模范,模特儿,模型,样板
modema dramo,话剧
modera,适度,有分寸
moderigi,节制
moderna,近代,摩登,现代
modernigo,维新,现代化
modesta,朴实,朴素,谦虚,谦逊,虚心
modesta vivado kaj penema luktado,艰苦奋斗
modifi,修改
modli,塑造
modo,时髦,式样
moduli,转调
moduli tonon,变调
moketi,打趣
moki,嘲笑,耻笑,讥笑,取笑
moknomo,绰号,外号
moko,讽刺
mokridi,嘲笑,取笑
mola,柔软,软,松软
mola akvo,软水
molaro,臼齿
molekulo,分子
moleo,防波堤
molesti,欺负,折磨
molkora,心肠软,易激动
molshela testudo,甲鱼
molusko,软体动物
momanto,力矩
momento,片刻,顷刻,时刻,一会儿
mona garantiajho,押金
mona premio,奖金
mona sistemo,货币体系
monahejo,修道院
monahhinejo,修道院
monahhino,修女
monahho,僧,修士
monarhho (monarko),国君
monarka awtoritato,君权
monarkio,君主国,君主政体
monarkismo,君主主义
monarko,君主
monata bileto,月票
monata gazeto,月刊
monata salajro,月薪
monatajho,例假,月经
monato,月份
monavideco,贪财
monavidulo,财迷
monbileto,钞票
monda milito,世界大战
mondkoncepto,世界观,宇宙观
mondmapo,世界地图
mondo,世界,天地
mondona,赚钱
mondrigardo,世界观,宇宙观
mondumo,上流社会
monedo,穴乌
monerla produkto,矿产
monero,钱币,铜板,硬币
monismo,一元论
monkesto,钱柜
monkrizo,金融危机
monmerkato,金融市场
mono,货币,金钱,钱
monoferi,捐款
monogamio,一夫一妻制
monoklina,雌雄同株
monologo,独白,独角戏
monomo,单项式
monopoli,把持
monopolighi,垄断
monopoligi,独霸,独占
