abandoned,[ә'bændәnd],adj.被抛弃的，自甘堕落的，没有约束的，放荡的
improper,[im'propә],adj.不适当的，不合适的，不正确的，不合礼仪的，不适宜
improvise,['imprәvaiz],v.临时准备
impulsive,[im'pΛlsiv],adj.冲动的
impunity,[im'pju:niti],n.不受惩罚，免罚，无患
impurity,[im'pjuәriti],n.杂质，混杂物，不洁，不纯
impute,[im'pju:t],vt.归罪于，归咎于，归因于
inability,[inә'biliti],n.无能，无力
inaccessible,[˛inæk'sesәbl],adj.达不到的，难以接近
inactive,[in'æktiv],adj.无行动的，不活动的，停止的，怠惰的,adj.非活动的
inaugurate,[i'no:gjureit],vt.举行就职典礼，创新，开辟，举行开幕(落成、成立)典礼.
inauguration,[i˛no:gju'rei∫әn],n.就职典礼，开幕式
incentive,[in'sentiv],n.动机,adj.激励的
incessant,[in'sesnt],adj.不断的，不停的
incessantly,[],adv.不间断地
incidental,[˛insi'dentl],adj.附带的，伴随的，非主要的，偶然的，容易发生的,n.伴随事件，(用复数)杂项、杂费
incomparable,[in'kompәrәbl],adj.无与伦比的，不能比较的
incompetent,[in'kompitәnt],adj.不合格的，不胜任的,n.无能力者
incomplete,[˛inkәm'pli:t],adj.不完全的，不完善的
inconsistent,[˛inkәn'sistәnt],adj.不一致的，不协调的，矛盾的
inconvenient,[˛inkәn'vi:njәnt],adj.不便的，有困难的
incorrect,[˛inkә'rekt],adj.错误的，不正确的
incredibly,[],adv.不能相信地
incredulous,[in'kredjulәs],adj.怀疑的，不轻信的
incurable,[in'kjuәrәbl],adj.不能治愈的
indebted,[in'detid],adj.负债的，感恩的
indefinite,[in'definit],adj.模糊的，不确定的，[语]不定的
indemnity,[in'demniti],n.保证物，赔偿物，赔款，补偿，保证
indent,[in'dent],n.缩进，契约，订货单，凹痕,vi.切割成锯齿状,vt.(印刷，书写)缩排，定货，印凹痕
independently,[indi'pendәntli],adv.独立地，自立地
indescribable,[˛indi'skraibәbl],adj.难以形容的
indicative,[in'dikәtiv],adj.(～ of) 指示的，预示的，可表示的
indictment,[in'daitmәnt],n.控告
indifferently,[],adv.冷淡地，不关心地
indignantly,[],adv.愤怒地
indigo,['indigәu],n.靛，靛青
indirectly,[],adv.间接地，拐弯抹角地
individuality,[˛indi˛vidju'æliti],n.个性，个人的特性，(通常用复数)个人的嗜好
individually,[indi'vidjuәli],adv.个别地
indomitable,[in'domitәbl],adj.不屈服的，不屈不挠的
inducement,[in'dju:smәnt],n.诱导，诱因，动机，刺激物
inert,[i'nә:t],adj.无活动的，惰性的，迟钝的
inexpensive,[˛iniks'pensiv],adj.便宜的，不贵重的
inexperienced,[],adj.无经验的，不熟练的
inexplicable,[in'eksplikәbl],adj.无法说明的
infallible,[in'fælәbl],adj.没有错误的，确实可靠的,n.一贯正确的人
infamous,['infәmәs],adj.声名狼籍的
infernal,[in'fә:nl],adj.阴间的，恶魔的
infest,[in'fest],v.大批滋生
infirmity,[in'fә:miti],n.虚弱，衰弱，缺点
inflate,[in'fleit],vt.使膨胀，使得意，使(通货)膨胀，使充气,vi.充气，膨胀
influenza,['influ'enzә],n.流行性感冒
ingratitude,[in'grætitju:d],n.忘恩，不知恩
inherent,[in'hiәrәnt],adj.固有的，内在的，与生俱来的
iniquity,[i'nikwiti],n.不公正
initiate,[i'ni∫ieit],vt.开始，发动，传授,v.开始，发起
inject,[in'dӡekt],vt.注射，注入
inlet,['inlet],n.进口，入口，水湾，小港，插入物
inmate,['inmeit],n.同住者，同室者(特指在医院、监狱)，居民
innocently,[],adv.无罪地，纯洁地
innovation,[˛inәu'vei∫әn],n.改革，创新
inquisition,[˛inkwi'zi∫әn],n.调查，探究，审理，(中世纪天主教审判异教徒)宗教裁判所
inquisitive,[in'kwizitiv],adj.好奇的
insanity,[in'sæniti],n.精神错乱，疯狂，愚顽
insensible,[in'sensәbl],adj.无知觉的，无同情心的，硬心肠的，麻木不仁的
inseparable,[in'sepәrәbl],adj.不能分的
insight,['insait],n.洞察力，见识
insinuate,[in'sinjueit],vt.使逐步而巧妙地取得，使迂回地潜入(或挤入)，使慢慢滋长，含沙射影地说
insistence,[in`sistәns],n.坚持，坚决主张
insistent,[in'sistәnt],adj.坚持不懈的
insolence,['insәlәns],n.傲慢
insolent,['insәlәnt],n.侮慢无礼的人,adj.傲慢的，无礼的，侮慢的
installation,[˛instә'lei∫әn],n.[计]安装，装置，就职
instinctive,[in'stiŋktiv],adj.本能的
insufficient,[˛insә'fi∫әnt],adj.不足的，不够的,n.不足
insulate,['insjuleit],vt.使绝缘，隔离
intact,[in'tækt],adj.完整无缺的，尚未被人碰过的，(女子)保持童贞的，(家畜)未经阉割的
intensive,[in'tensiv],adj.强烈的，精深的，透彻的，[语法]加强语气的,n.加强器
inter,[in'tә:],vt.埋葬，葬，埋
intercept,[˛intә'sept],vt.中途阻止，截取
interchange,[˛intә't∫eindӡ],vt.(指两人等)交换,v.相互交换
intermediate,[˛intә'mi:djәt],adj.中间的,n.媒介
interminable,[in'tә:minәbl],adj.无限的，冗长的
interstate,[˛intә(:)'steit],adj.州际的
intervention,[˛intә(:)'ven∫әn],n.干涉
intestine,[in'testin],adj.内部的，国内的,n.[解，动]肠
intimately,[],adv.密切地
intrusion,[in'tru:ӡәn],n.闯入，侵扰
invaluable,[in'væljuәbl],adj.无价的，价值无法衡量的
investor,[in'vestә],n.投资者
inviting,[in'vaitiŋ],adj.引人动心的，有魅力的
invoke,[in'vәuk],v.调用
involuntarily,[],adv.不知不觉地，无心地
involuntary,[in'volәntәri],adj.自然而然的，无意的，不知不觉的，偶然的，不随意的
inwardly,['inwәdli],adv.在内部地，小声地，思想上，本质上
iridescent,[˛iri'desnt],adj.彩虹色的，闪光的
Irishman,['aiәri∫m(ә)n],n.爱尔兰人
irony,['aiәrәni],n.反话，讽刺，讽刺之事
irrigate,['irigeit],vt.灌溉，修水利，冲洗伤口，使潮湿,vi.进行灌溉
irritable,['iritәbl],adj.易怒的，急躁的
irritation,[˛iri'tei∫әn],n.愤怒
isolation,[˛aisәu'lei∫әn],n.隔绝，孤立，隔离，绝缘，离析
Istanbul,[˛istæn'bu:l],n.伊斯坦布尔(土耳其西北部港市)
itch,[it∫],n.发痒，渴望，[医]疥疮(尤指发痒的),vi.发痒，渴望
jade,[dӡeid],n.碧玉，翡翠，老马,adj.绿色的，玉制的,v.(使)疲倦
javelin,['dӡævlin],n.(投掷用的)标枪
jazz,[dӡæz],n.(20世纪产生于美国的一种舞曲性音乐)爵士乐，喧闹,adj.爵士乐的，喧吵的，颜色过于艳丽的,vi.奏爵士乐，跳爵士舞，游荡,vt.奏爵士乐，使活泼
jenny,['dӡeni],n.移动式起重机，纺织机
jester,['dӡestә(r)],n.讲笑话的人，小丑
jeweler,['dӡu:әlә(r)],n.宝石商，宝石匠
jig,[dӡig],n.快步舞，快步舞曲，带锤子的钓钩，夹具,v.乱跳，加工用钩钓鱼，选筛
jill,[dӡil],n.女人，少女
jocund,['dӡokәnd],adj.欢乐的，高兴的
jog,[dӡog],n.轻推，轻撞，漫步,v.轻推，(使)蹒跚行进，(使)慢跑
jolt,[dӡәult],v.摇晃,n.摇晃
jot,[dӡot],n.少量，少额，稍许,vt.略记，摘要记载下来，草草地记下
journalism,['dӡә:nәlizәm],n.新闻业，报章杂志
joyously,[],adv.快乐地，快活地
jubilee,['dӡubili:],n.50年节，(天主教)大赦年
judicious,[dӡu(:)'di∫әs],adj.明智的
juicy,['dӡu:si],adj.多汁的，潮湿的，有趣的，报酬多的
jumble,['dӡΛmbl],v.混杂，搞乱,n.混乱
jumper,['dӡΛmpә],n.跳跃者，跳高运动员，跳跃的动物，妇女穿的套头外衣，海员的上衣，工作服
jumpy,['dӡΛmpi],adj.跳跃的，神经质的
juror,['dӡuәrә],n.陪审员，审查委员
justification,[dӡΛstifi'kei∫(ә)n],n.认为有理，认为正当，理由，辩护，释罪
jut,[dӡΛt],v.(使)突出，(使)伸出，突击,n.突出部分，伸出部分
juvenile,['dӡu:vinail],adj.青少年的，幼稚的,n.青少年，少年读物
Kaiser,[],n. 德国皇帝
kennel,['kenl],n.狗窝，狗屋，阴沟,vt.置于狗窝，宿于狗舍,vi.进狗窝
kerchief,['kә:t∫if],n.方巾
kernel,['kә:nl],n.(硬壳果)仁，(去壳的)麦粒，谷粒，(事物、问题的)核心，要点，精髓，内核
kidnap,['kidnæp],vt.诱拐(小孩)，绑架，勒赎
kidney,['kidni],n.肾，(动物可食用的)腰子，个性，性格
kilometer,['kilәmi:tә],n.[物]千米，公里
kilometre,[`kilәumi:tә(r)],n.公里
knack,[næk],n.诀窍
knead,[ni:d],vt.揉(面等)成团，捏制(面包、陶器等)，按摩，捏制
knighthood,['naithud],n.骑士(或爵士)的地位、身份
knightly,['naitli],adj.骑士般的，勇武的，侠义的
knuckle,['nΛkl],n.指节，关节
kodak,['kәudæk],[Kodak ][美]柯达(柯达公司的照相机和照相材料的商标名),用手提照相机拍 (照片)
laborious,[lә'bo:riәs],adj.(指工作)艰苦的，费力的，(指人)勤劳的
Labrador,['læbrәdo:],n. 拉布拉多猎狗
labyrinth,['læbәrinθ],n.迷路，迷宫，难解的事物
lacking,['lækiŋ],adj.缺乏的，不足的
lagoon,[lә'gu:n],n.泻湖,礁湖
lair,[lєә],n.窝
lamentable,['læmәntәbl],adj.不快的
landing,['lændiŋ],n.登陆，着陆，码头，楼梯平台，降落
landmark,['lændmα:k],n.(航海)陆标，地界标，里程碑，划时代的事
landowner,['lændәunә(r)],n.地主，土地所有者
languid,['læŋgwid],adj.疲倦的，无力的，没精打采的
latent,['leitәnt],adj.潜在的，潜伏的，隐藏的,n.隐约的指印
lateral,['lætәrәl],n.侧部，支线，边音,adj.横(向)的，侧面的
lavishly,[],adv.浪费地，丰富地
lazily,[`leizili],adv.懒洋洋地
lea,[li:],n.草地
leaven,['levәn],n.酵素，酵母，潜移默化的影响,vt.使发酵，影响
Lebanon,['lebәnәn],n.黎巴嫩(西南亚国家)
lecturer,['lekt∫әrә],n.演讲者，讲师
leech,[li:t∫],n.水蛭，吸血鬼，榨取他人利益的人,vt.(为治疗)以水蛭吸血,vi.依附并榨取他人
legacy,['legәsi],n.遗赠(物)，遗产(祖先传下来)
legally,[],adv.法律上，合法地
legislator,['ledӡis˛leitә],n.立法者
lengthwise,[],adj.<美>=lengthways
Leo,['li(:)әu],n.狮子(用于儿童故事寓言等)，[天文]狮子座
levee,['levi],n.防洪堤，码头，大堤,v.筑防洪堤于
lever,['li:vә; 'levә],n.杆，杠杆，控制杆,v.抬起
lewd,[lu:d],adj.淫荡的，猥亵的，下流的
librarian,[lai'brєәriәn],n.图书馆员，图书管理员
liege,[li:dӡ],n.君主，臣民，列日,adj.君主的，臣民的，君臣关系的
lifelong,['laifloŋ],adj.终身的，毕生的
likelihood,['laiklihud],n.可能，可能性
liken,['laikәn],vt.把...比作
liking,['laikiŋ],n.爱好，嗜好
lilac,['lailәk],n.[植]丁香(尤指西洋丁花)紫丁香，丁香花，淡紫色,adj.淡紫色的
linden,['lindәn],n.菩提树
liner,['lainә],n.<美>班机，划线者，衬垫
linoleum,[li'nәuljәm],n.油布，油毯
linseed,['linsi:d],n.亚麻子，亚麻仁
lipstick,['lipstik],n.<美> 口红，唇膏
lisp,[lisp],v.咬着舌儿说,n.口齿不清
lithe,[laið],adj.(指人、身体)柔软的，易弯的
loathsome,['lәuðsәm; lәuθ-],adj.讨厌的
loiter,['loitә],v.闲荡，虚度，徘徊
longitude,['londӡitju:d],n.经度，经线
loophole,['lu:phәul],n.枪眼，望孔，射弹孔
loot,[lu:t],v.掠夺，抢劫，劫掠,n.掠夺物，战利品，抢劫
lordly,['lo:dli],adj.贵族的，有贵族特点的,adv.贵族般地，有气派地
lore,[lo:; loә],n.学问，知识，（动物的）眼光知识
lorry,['lori],n.<古>卡车，铁路货车
Los Angeles,[los'ændӡәlәs],n.洛杉矶(美国城市)
lottery,['lotәri],n.抽彩给奖法
lovable,['lΛvәb(ә)l],adj.可爱的，惹人爱的
lowly,['lәuli],adj.地位低的，卑贱的，谦逊的,adv.位置低下的，低声地，谦逊地
lullaby,['lΛlәbai],n.催眠曲，摇篮曲，轻柔的声音,v.唱催眠曲使入睡
lunatic,['lju:nәtik],adj.精神错乱的，疯狂的，极端愚蠢的,n.疯子，狂人，大傻瓜，疯人
luscious,['lΛ∫әs],adj.甘美的
lute,[lju:t],n.琵琶
luxuriant,[lΛg'zjuәriәnt],adj.丰产的，丰富的，肥沃的，奢华的
lynch,[lint∫],n.私刑，诽谤,vt.处以私刑，诽谤，中伤
lyric,['lirik],n.抒情诗，歌词,adj.(供)吟唱的，抒情的
mace,[meis],n.钉头，权杖，肉豆蔻，肉豆蔻树，豆蔻香料，催泪瓦斯，肉豆蔻皮
madden,['mædn],v.发狂
mademoiselle,[˛mædәmә'zel],[法] (pl.mademoiselles，mesdemoiselles )小姐(相当于英语Miss ，单数略为Mlle，复数略为Mlles), [英]法国女(家庭)教师
madman,['mædmәn],n.疯子，精神病患者
Madonna,[mә'donә],n.圣母玛利亚，圣母像
madras,[`mædrәs;mә`drα:s;-`dræs],n.马德拉斯布(一种薄棉布)，一种结实耐用的丝绸
Madrid,[mә'drid],n.马德里(西班牙首都)
maggot,['mægәt],n.空想，蛆
magical,['mædӡikәl],adj.不可思议的
magnesium,[mæg'ni:zjәm],n.[化]镁
magnetism,['mægnitizәm],n.磁，磁力，吸引力，磁学
maim,[meim],vt.使残废，使不能工作
maize,[meiz],n.玉米，黄色,adj.玉米色的，黄色的
malady,['mælәdi],n.疾病
malaria,[mә'lєәriә],n.疟疾，瘴气
Malay,[mә'lei],adj.马来西亚的,n.马来人，马来语
malicious,[mә'li∫әs],adj.怀恶意的，恶毒的
malignant,[mә'lignәnt],adj.恶性的
mallet,['mælit],n.槌棒
malt,[mo:lt],n.麦芽
mammal,['mæmәl],n.哺乳动物
mammoth,['mæmәθ],n.[古生]猛犸，毛象，庞然大物,adj.长毛象似的，巨大的
mandate,['mændeit],n.(书面)命令，训令，要求，(前国际联盟的)委任托管权,vt.委任统治
mandible,['mændibl],n.下颚，下颚骨
mangle,['mæŋgl],vt.乱砍，撕裂，破坏，毁损，损坏，轧布,n.(洗衣用的)轧干机，熨平机
manifestation,[˛mænifes'tei∫әn],n.显示，表现，示威运动
manifestly,[],adv.明白地
manoeuvre,[mә'nu:vә],n.[亦作maneuvre] 策略，调动,v.用策略，调动，演习，(敏捷地)操纵
mantel,['mæntl],n.壁炉架
marigold,['mærigәuld],n.[植]万寿菊，金盏草
maritime,['mæritaim],adj.海上的，海事的，海运的，海员的
market place,[],n. 1.市场；集市场所 2.市面
marrow,['mærәu],n.髓，骨髓，精华，活力，<苏格兰>配偶
mart,[mα:t],n.<书>商业中心，市场
martyrdom,['mα:tәdәm],n.牺牲，殉难，受苦
masonry,['meisnri],n.石工术，石匠职业
masquerade,[˛mæskә'reid; mα:s-],n.化妆舞会,v.化装
massy,['mæsi],adj.巨大的，厚重的
mastery,['mα:stәri],n.掌握
mathematical,[˛mæθi'mætikәl],adj.数学的，精确的
matter-of-fact,[˛mætәrәv'fækt],adj.实质的，事务性的，平常的
mayonnaise,[˛meiә'neiz],n.蛋黄酱
maze,[meiz],n.曲径，迷宫，迷津，迷惘，迷惑，糊涂,vt.使迷惘，使混乱，迷失
Mecca,['mekә],(=Makkah，Mekka)麦加(沙特阿拉伯西部，穆罕默德诞生地，伊斯兰教第一圣地)
mechanically,[mi'kænikәli],adv 机械地
medusa,[mi'dju:zә],n.[动]水母，水母体
meekness,[],n.温顺，柔和
memoir,['memwα:],n.论文集
memorandum,[˛memә'rændәm],n.备忘录，便笺，便函，买卖契约书
memorize,['memәraiz],v.[亦作memorise] 记住，记忆
mercenary,['mә:sinәri],adj.唯利是图的
merciful,['mә:siful],adj.仁慈的，慈悲的
merciless,['mә:silis],adj.无慈悲心的，残忍的
merge,[mә:dӡ],v.合并，并入，结合，吞没，融合
meridian,[mә'ridiәn],n.子午线，正午，顶点，全盛时期,adj.子午线的，正午的，顶点的，全盛时期的
metamorphosis,[˛metә'mo:fәsis],n.变形
Miami,[mai`æmi],n.迈阿密(美国佛罗里州达东南部港市)
mica,['maikә],n.[矿]云母
microphone,['maikrәfәun],n.扩音器，麦克风
microscopic,[maikrә'skopik],adj.用显微镜可见的，精微的
middle-aged,[`midl`eidӡd],adj.中年的，具有中年人特点的
middle-class,[`midl`klα:s; -`klæs],adj.中层社会的，中产阶级的
mien,[mi:n],n.风度
milkmaid,['milkmeid],n.挤奶的妇女，在酪农场工作的女性
milky,['milki],adj.牛奶的，乳状的，乳白色的
millstone,['milstәun],n.磨，磨石，粉碎器，重担
minded,['maindid],adj.有...思想的
minimize,['minimaiz],vt.将...减到最少,v.最小化
mink,[miŋk],n.[动]貂(尤指水貂)，貂皮衣
miraculous,[mi'rækjulәs],adj.奇迹的，不可思议的
miser,['maizә],n.守财奴，吝啬鬼，(石油工程上用的)凿井机
miserably,['mizәrәbli],adv.悲惨
misgiving,[mis'giviŋ],疑惧，疑虑
mishap,['mishæp; mis'hæp],n.灾祸
mistrust,['mis'trΛst],n.不信任，猜疑,v.不信任，猜疑
misunderstand,['misΛndә'stænd],vt.误解，误会
misunderstanding,[misΛndә'stændiŋ],n.误会，误解
misuse,['mis'ju:z],v.误用，错用，滥用，虐待,n.误用，错用，滥用，误用之实例
moccasin,['mokәsin],n.鹿皮鞋，软拖鞋
mockery,['mokәri],n.嘲笑
modestly,[],adv.谨慎地，适当地
molest,[mәu'lest],vt.骚乱，困扰，调戏
monetary,['mΛnitәri],adj.货币的，金钱的
monotony,[mә'notәni],n.单音，单调，千篇一律
monte,['monti],n.始于西班牙的纸牌赌博游戏
monumental,[˛monju'mentl],adj.纪念碑的，纪念物的，不朽的，非常的
moonlit,['mu:nlit],adj.月光照耀的
mop,[mop],n.拖把(俗称地拖)，洗碗,v.用拖把拖洗，擦，抹，扫荡
mortify,['mo:tifai],vt.克服，苦修，使苦恼,vi.制欲，苦行，坏死
mossy,['mosi],adj.生苔的，青苔状的，古老的
motion picture,[],n.电影
mourner,['mo:nә],n.悲伤者，哀悼者，忏悔者
moveable,['mu:vәbl],n.可移动的东西,adj.可移动的，活动的
muck,[mΛk],n.粪肥，垃圾，肥料,vt.施肥，弄脏，捣乱，搞坏,vi.鬼混
muff,[mΛf],adj.皮手笼，保温的，笨拙的人，接球失败,v.弄糟，漏接(球)，失败
mug,[mΛg],n.杯子
mulberry,['mΛlbәri],n.桑树，桑葚，深紫红色
multiplication,[˛mΛltipli'kei∫әn],n.[数]乘法，增加，(动，植的)繁殖，增殖
mummy,['mΛmi],n.[小儿语] 妈咪，[口头语] 妈妈，木乃伊，干瘪的人
munch,[mΛnt∫],v.用力咀嚼，大声咀嚼
Munich,['mju:nik],n.慕尼黑(德国城市，巴伐利亚州首府)
municipality,[mju:˛nisi'pæliti],n.市政当局，自治市
myrtle,['mә:tl],n.[植]桃金娘科植物
mystic,['mistik],adj.神秘的，神秘主义的,n.神秘家，神秘主义的鼓吹者
nag,[næg],n.老马，驽马，劣等竞赛马，(作坐骑的)矮小马，唠叨,v.不断地唠叨，恼人
nameless,['neimlis],adj.无名的，不知名的，匿名的，不可名状的，难以形容的
narcotic,[nα:'kotik],n.麻醉药，致幻毒品，镇静剂,adj.麻醉的，催眠的
narrowly,['nærәuli],adv.勉强地，精细地
navigable,['nævigәbl],adj.适于航行的
needy,['ni:di],adj.贫困的，非常贫穷的，缺乏生活必需品的
nestle,['nesl],vi.舒适地坐定，偎依,vt.抱，安置
nether,['neðә],adj.下面的，下层社会的
nettle,['netl],n.荨麻
New Jersey,[nju: 'dӡә:zi],n.新泽西州(美国大西洋沿岸)
Newfoundland,[˛nju:fәnd'lænd],纽芬兰(岛)(加拿大一省)
niche,[nit∫],n.小生境
nick,[nik],n.刻痕，缺口,vt.刻痕于，挑毛病,vi.阻击
nickname,['nikneim],n.诨号，绰号，昵称,vt.给...取绰号，给...起浑名
nightfall,['naitfo:l],n.黄昏
Noah,['nәuә],n.诺亚
nobly,['nәubli],adv.高贵地，豪爽地，崇高地
noontide,['nu:ntaid],n.正午，白昼
normally,['no:mәli],adv.正常地，通常地
northeastern,[˛no:θ`i:stәn],adj.东北方的，来自东北的
notably,['nәutbәli],adv.显著地，特别地
noticeably,[],adv.引人注目地，显著地
novice,['novis],n.新手，初学者
numb,[nΛm],adj.麻木的,v.失去知觉
numberless,['nΛmbәlis],adj.无数的，无号码的
numbness,[],n.麻木，麻痹
nuptial,['nΛp∫әl],n.婚礼,adj.婚姻的，婚礼的
nutrition,[nju:'tri∫әn],n.营养，营养学
oasis,[әu'eisis],n.(沙漠中)绿洲，舒适的地方
oatmeal,['әutmi:l],n.(燕)麦片，(燕)麦粥
oblique,[ә'bli:k],adj.倾斜的，间接的，不坦率的，无诚意的
oblivion,[ә'bliviәn],n.遗忘，湮没，赦免
observatory,[әb'zә:vәtәri],adj.天文台，气象台
obstinacy,['obstinәsi],n.固执
obstruct,[әb'strΛkt],v.阻隔，阻塞，遮断(道路、通道等),n.阻碍物，障碍物
obstruction,[әb'strΛk∫әn],n.阻塞，妨碍，障碍物
offset,['o:fset],n.偏移量，抵销，弥补，分支，平版印刷，胶印,vt.弥补，抵销，用平版印刷,vi.偏移，形成分支
oftentimes,[`ofәntaimz],adv.时常地
ointment,['ointmәnt],n.药膏，油膏
Olympus,[әu'limpәs],n.奥林匹斯山，天堂
omen,['әumen],n.预兆，征兆,vt.预示，有...的前兆
omission,[әu'mi∫әn],n.冗长
Ontario,[on'tєәriәu],安大略湖[北美洲中东部](美国和加拿大共有的湖)
oppressive,[ә'presiv],adj.压制性的，压迫的，沉重的，难以忍受的
oration,[ә'rei∫әn],n.演说，致辞，叙述法,[语]引语
oratory,['orәtәri],n.讲演术
ordeal,[o:'di:l; -'di:әl],n.严酷的考验，痛苦的经验，折磨
organist,['o:gәnist],n.风琴弹奏者
orgy,['o:dӡi],(=orgy ) n.纵酒狂欢，放荡
orifice,['orifis],n.孔，口
originality,[˛әridӡi'næliti],n.创意，新奇
Orion,[ә'raiәn],n.Diana 所爱的猎人，[天]猎户星座
orthodox,['o:θәdoks],adj.正统的，传统的，习惯的，保守的，东正教的
ostrich,[' ostrit∫],n.鸵鸟，鸵鸟般的人
outburst,['autbә:st],n.(火山、感情等)爆发、喷出，突发，破裂
outlay,['autlei],n.费用
outrageous,[aut'reidӡәs],adj.蛮横的，残暴的，无耻的，可恶的，令人不可容忍的
outrun,[aut'rΛn],vt.超过，逃脱
outskirts,['autskә:ts],n.边界，(尤指)市郊
outstretched,['autstret∫t],adj.伸出的，伸展的
oval,['әuvәl],adj.卵形的，椭圆的,n.卵形，椭圆形
ovary,['әuvәri],n.(生物)卵巢，(植物)子房
overhang,['әuvә'hæŋ],v.悬于...之上，悬垂
overland,['әuvәlænd],adj.陆路的，经过陆地的，陆上的,adv.陆上，通过陆路
overseas,['әuvә'si:z],adv.海外,adj.外国的，海外的
overshadow,[˛әuvә'∫ædәu],v.遮蔽，使...失色
overthrew,[],vbl.overthrow的过去式
overwork,['әuvә'wә:k],n.过度操劳，过度工作,v.(使)工作过度
oxide,['oksaid],n.[化]氧化物
packer,['pækә],n.包装工人，打包机，包装食品生产厂(或厂主)
pact,[pækt],n.合同，公约，协定
pajamas,[pә'dӡα:mәz],n.睡衣，宽长裤
pall,[po:l],n.棺罩，幕，遮盖物,vi.走味,vt.覆盖，使平淡无味，使生厌，感到腻烦
palmer,['pα:mә],n.朝圣者，游方僧，[昆](＝palmerworm)毛虫(尤指北美的小舌麦蛾幼虫)
Pandora,[pæn'do:rә],n.[希神]潘多拉(火神用粘土做成的地上的第一个女人)
panther,['pænθә],n.豹，黑豹
papal,['peipl],adj.罗马教皇的，教皇制度的
paprika,['pæprikә; (?@) pә'pri:kә],n.红辣椒，辣椒粉
par,[pα:],n.同等，(股票等)票面价值,adj.票面的，平价的，平均的，标准的
parachute,['pærә∫u:t],n.降落伞
paralysis,[pә'rælisis],n.瘫痪，麻痹
paramount,['pærәmaunt],adj.极为重要的
parasite,['pærәsait],n.寄生虫，食客
pare,[pєә],vt.剥，削，修，削减，消灭
parliamentary,[˛pα:lә'mentәri],adj.议会的
participation,[pα:˛tisi'pei∫әn],n.分享，参与
passageway,['pæsidӡwei],n.过道，出入口
paternal,[pә'tә:nl],adj.父亲的，象父亲的
patrician,[pә'tri∫әn],n.贵族,adj.贵族的
patronize,['pætrәnaiz],v.资助
patty,['pæti],n.小馅饼，<美>肉饼
pawn,[po:n],n.典当，抵押物，人质，(象棋)兵、卒，爪牙，被人利用的人,vt.当掉，以...担保
pedestrian,[pe'destriәn],n.步行者,adj.徒步的，呆板的，通俗的
peerless,['piәlis],adj.出类拔萃的，无可匹敌的
pelt,[pelt],n.投掷，疾行，毛皮,vt.剥...的皮，投掷，投击，(雨、雪等)急降，攻击,vi.投击，猛落
penance,['penәns],n.[天主教]忏悔，苦修,vt.使...以苦行赎罪
pending,['pendiŋ],adj.未决的
pendulum,['pendjulәm],n.钟摆，摇锤
penitent,['penitәnt],adj.悔过的,n.悔罪者
pensive,['pensiv],adj.沉思的
perceptible,[pә'septәbl],adj.可察觉的，显而易见的，感觉得到的
perennial,[pә'renjәl],adj.四季不断的，终年的，长期的，永久的，(植物)多年生的
performer,[pә'fo:mә(r)],n.表演者
pernicious,[pә:'ni∫әs],adj.有害的
perseverance,[˛pә:si'viәrәns],n.坚定不移
personnel,[˛pә:sә'nel],n.人员，职员
perspective,[pә'spektiv],n.透视画法，透视图，远景，前途，观点，看法，观点，观察
persuasive,[pә'sweisiv],n.说服者，劝诱,adj.善说服的
pertain,[pә(:)'tein],v.适合，属于
pervade,[pә(:)'veid],v.遍及
pestilence,['pestilәns],n.瘟疫
petal,['petl],n.花瓣
pew,[pju:],n.教堂内的靠背长凳,vt.排座位
phantom,['fæntәm],n.幻影
phenomena,[fi'nominә],n.现象
Philistine,['filistain],n.(中东古国)腓力斯人，仇敌，俗气的人,adj.非利士的，俗气的，无教养的
philosophical,[˛filә'sofikәl],adj.哲学的
Phoebus,['fi:bәs],n.日神，太阳
phosphate,['fosfeit],n.磷酸盐
phosphoric,[fos'forik],adj.[化]磷的(尤指含五价磷的)，含磷的
photographic,[fәutә'græfik],adj.照相的
piazza,[pi'ætsә],n.广场，走廊，露天市场
picket,['pikit],n.支柱，警戒哨,v.放哨
piercing,['piәsiŋ],adj.刺骨的，刺穿的
piety,['paiәti],n.虔诚，孝行
pigment,['pigmәnt],n.[生]色素，颜料
pike,[paik],n.矛，长枪，梭子鱼,vt.用矛刺穿
pinion,['pinjәn],n.小齿轮
pinnacle,['pinәkl],n.小尖塔，山顶，顶点,vt.造小尖塔，把...放在极高处
pique,[pi:k],n.不满，生气，愤怒,vt.伤害...自尊心，使...生气
pistil,['pistil],n.[植]雌蕊
piston,['pistәn],n.[机]活塞，瓣
piteously,[],adv.可怜地，慈悲地
pitiless,['pitilis],adj.无情的
pivot,['pivәt],n.枢轴，支点，(讨论的)中心点，重点,adj.枢轴的,vi.在枢轴上转动,vt.装枢轴于
plaid,[plæd],n.格子花呢披肩，格子花呢
plaintive,['pleintiv],adj.悲哀的，哀伤的
platinum,['plætinәm],n.白金，铂
playful,['pleiful],adj.好玩的，嬉戏的，十分有趣的，顽皮的
playwright,['pleirait],n.剧作家
plod,[plod],n.沉重的脚步,vi.沉重地走，辛勤工作,vt.沉重缓慢地走
ploughman,[`plaumәn],n.农夫，犁田者
plumage,['plu:midӡ],n.鸟类羽毛，翅膀
pneumonia,[nju(:)'mәunjә],n.[医] 肺炎
pocketbook,['pokit˛buk],n.笔记本，钱袋，皮夹，经济来源
poetic,[pәu'etik],adj.诗歌的
